,0,1
4885,drunk,excited
4886,laughed,cried
4887,farewell,hello
4888, watched, listened to
4889,cash,glasses
4890, speaker, ear phone
4891, vomit ##ed, smoke
4892, backpack, water ##mel ##on
4893,fence,grass
4894,music,food
4895,come,leave
4896,bus,hotel
4897,bus,taxi
4898,west,east
4899,, not
4900,will,may
4901,harmful,good
4902,safe,dangerous
4903, ' t,
4904,, ' t
4905,may,must
4906,faster,slower
4907,brighter,darker
4908, no,
4909,lions,rabbits
4910, can, have
4911,will,may
4912,mouth,eyes
4913, ' t,
4914,, don ' t
4915, don ' t, just
4916,bad,good
4917, stay alone, communicate with others
4918,friends,enemies
4919, won ' t,
4920, won ' t,
4921,money,eyes
4922,sun,pancakes
4923, men ##st ##ru ##ating, sweating
4924,flying,swimming
4925,may,must
4926,bad,good
4927,jungle,sea
4928, put into the dirty water, clean up
4929, eat food, take a shower
4930,see,smell
4931,plane,train
4932,sleeves,jacket
4933, sleep, exercise
4934,rains,diamonds
4935, see of scenery, look at computer often
4936,fire,ice
4937,work,sleep
4938,health,injury
4939, are aliens, is no life
4940,all,many
4941,mountains,basins
4942,sun,tree
4943, take when it rains, don ' t bring on rainy days
4944,, not
4945, reduce, en ##rich
4946,bad,good
4947,cannot,can
4948,, not
4949, not,
4950,harm,bad
4951, a lot of convenience human beings, nothing but harm mankind
4952,will,may
4953,will,never
4954,sky,water
4955, is, isn ' t
4956,, not
4957, not,
4958, not necessarily, the
4959,restaurant,toilet
4960,moon,orchard
4961,bread,water
4962,off,on
4963, play games, go and study hard
4964, ' s is short, has a long
4965, ' t,
4966,zoo,sky
4967,hospital,restaurant
4968,never,often
4969, went to, never
4970,, not
4971,fat,rich
4972, most, a
4973,bread,rocks
4974,skirt,umbrella
4975,low,high
4976,murder,charity
4977, very bad, delicious
4978,home,key
4979,shoes,phone
4980,walk,room
4981, stayed at home, went to play basketball
4982, smoking room, plane
4983, drink my tea slowly, evacuated quickly
4984, in my farm, on mars
4985, toe ##nail ##s, toes
4986, pool, playground
4987,wind,snow
4988,school,bus
4989,dog,me
4990, sky, white board
4991,table,piano
4992,sweet,bitter
4993, be patient, hurry
4994,delivery,copyright
4995,swim,run
4996, face palm, applause
4997,vinegar,honey
4998,radar,medal
4999,movie,chapter
5000, hallway, athletic track
5001,camera,cover
5002, into dust ##bin, on street
5003, laws have be strictly executed, the president should change the constitution in secret
5004,plastic,paper
5005,ocean,dessert
5006,funeral,party
5007,sand,sediment
5008,masterpiece,game
5009, brothel, meeting room
5010, entrance, glass curtain wall
5011,far,fast
5012,dentist,politician
5013, water gun, rifle
5014, close people, dictatorship
5015,objective,abstract
5016,mountains,ocean
5017,with,against
5018,bright,dark
5019, bath, sun ##bat ##h
5020,trunk,tyre
5021,##card,card
5022,monument,cinema
5023,written,oral
5024, dead become alive, living die
5025, lots of safety concerns, so many wealth
5026,started,stopped
5027, stars, moon
5028, whales, golden
5029,disliked,liked
5030,water,air
5031,theories,comics
5032, tutor ##ial, lecture
5033,green,red
5034, plays f ##ps game, does research work
5035, everyone, no one
5036,celebrating,praying
5037, sold, didn ' t sell
5038, bus, space ship
5039,underwear,helmet
5040, suffer from unpleasant feelings, enhance brilliant moments
5041, develops, falls back
5042,warm,disgusting
5043, two edges sw ##ard, always positive thing
5044,performance,battle
5045,weather,storm
5046,watch,parachute
5047,bed,pool
5048, breast, bicycle tyre
5049, wife, enough publication
5050, whole party, airport
5051,ant,lion
5052,human,monkey
5053,realization,denial
5054, offensive, good for health
5055, already know, have never seen
5056,flowers,insects
5057,slogan,spirit
5058, chili sauce, beef
5059,rain,jobs
5060, dec ##lina ##tion, improvement
5061,foreign,local
5062,milk,water
5063,ass,light
5064, metro station, airport
5065,goodbye,hello
5066,ground,sky
5067, so ##uven ##ir, penalty
5068,ash,organs
5069, table, high tower
5070,handle,player
5071,violin,piano
5072,finding,losing
5073,enemy,cold
5074, for a business trip,
5075,alcohol,water
5076,loves,hates
5077, prevent from, help
5078,train,turtle
5079,government,restaurant
5080,leave,miss
5081,april,february
5082,unemployment,employment
5083,monkey,money
5084, fan,
5085,eats,has
5086,way,fridge
5087,drink,miss
5088,mistake,cake
5089,moon,table
5090,soup,sound
5091,running,acting
5092, twenty five, six
5093,meet,eat
5094,money,monkey
5095, volcano, new york
5096,quilt,lion
5097,queen,king
5098,dog,child
5099,street,chest
5100,questions,punishment
5101,policeman,supermarket
5102, work ##man, singer
5103,doctor,driver
5104, burger ##s, friends
5105,horse,house
5106,across,under
5107,winter,summer
5108,drink,see
5109,enter,read
5110,party,race
5111,deadly,good
5112,pace,hand
5113,drawing,seeking
5114, customs, cleaner ##s
5115, gun ., spoon
5116,girl,boy
5117,cake,season
5118,pen,elephant
5119,star,rabbit
5120,south,east
5121,head,train
5122,planets,cash
5123,lion,tie
5124,girl,dog
5125,river,tourists
5126,courage,science
5127,table,zoo
5128,mountains,eggs
5129,pen,sun
5130,eyes,ears
5131,bread,tea
5132,clothes,clock
5133,school,toilet
5134,details,water
5135, cows, crowd
5136,spoon,stone
5137,chair,wire
5138,table,memory
5139,library,theater
5140,space,company
5141,skirt,table
5142, river, sky .
5143,happiness,population
5144,restaurant,world
5145,sleep,pills
5146, anger ., information
5147,toilet,market
5148,near,in
5149,piano,games
5150,milk,bacon
5151,mouth,kitchen
5152,30th,31st
5153,teacher,farmer
5154, store, jail .
5155,fat,thinner
5156, supermarket ., station
5157,basketball,guns
5158, cleaner cleaner, dirt ##ier dirt ##ier
5159,son,daughter
5160,, fifty
5161,stomach,tongue
5162,friend,ball
5163,prison,library
5164,planet,fire
5165, volcano, tree ##tops
5166,water,sunlight
5167,singer,doctor
5168,drink,chair
5169,air,insects
5170,sun,bar
5171,horse,farm
5172,blind,deaf
5173, swimming pool, bookstore
5174,teeth,shoes
5175,sky,home
5176,weather,water
5177,food,drink
5178,aunt,house
5179,bedroom,supermarket
5180, mouth, eyes .
5181,beer,milk
5182,3,9
5183,snack,desk
5184,toilet,restaurant
5185,eggs,fountain
5186,snow,water
5187,drink,knife
5188,police,post
5189,laundry,exam
5190,gym,supermarket
5191,red,black
5192,bank,house
5193,water,mint
5194, e -,
5195,leaf,stick
5196,water,sorrow
5197, classmates, pencil ##s
5198,cloud,boy
5199,computer,cake
5200,something,pet
5201, jam ##s, water
5202,weeks,planets
5203,lions,students
5204,food,poison
5205,insurance,electricity
5206,book,sport
5207,water,ground
5208, bro ##cco ##li, pork
5209,gym,laundry
5210, wine, soda ##s
5211,spaceship,car
5212,wings,arms
5213,theatre,volcano
5214,restaurant,toilet
5215,train,hat
5216,kite,plane
5217,mouth,eyes
5218,elephants,boats
5219,river,sea
5220,washing,cooking
5221,open,closed
5222, dogs, old people
5223,car,phone
5224,garden,book
5225,mouth,book
5226,library,restaurant
5227,doctor,policeman
5228,joke,truth
5229,sculpture,tree
5230,car,lift
5231,fly,spaceship
5232, the gamble, basketball
5233,policeman,doctor
5234,head,feet
5235,road,river
5236,door,window
5237,rooms,ships
5238,sky,park
5239,dead,alive
5240,seconds,minutes
5241,writer,waiter
5242, famous actors ., mickey mouse and donald duck
5243, wine ., water
5244,breakfast,lunch
5245,book,mouth
5246,sea,time
5247,ruler,pan
5248,fish,lamp
5249,boyfriend,pan
5250,tree,gun
5251,belts,chairs
5252,salmon,snake
5253,teacher,cook
5254,clip,knife
5255,popcorn,fire
5256,pencil,table
5257,book,bathroom
5258,seats,air
5259, dollars ., pieces
5260,hand,toast
5261,policemen,robbers
5262,coke,knife
5263,table,spoon
5264,basket,coffee
5265, pork, let ##tu ##ce
5266,dish,house
5267,traffic,business
5268, brush, tooth ##pic ##k
5269,night,morning
5270,leaves,park
5271,exam,coffee
5272,fridge,blanket
5273,plane,sea
5274,grass,grapes
5275,refrigerator,toilet
5276,exam,dessert
5277,hospital,nursery
5278,sugar,salt
5279,book,spoon
5280,crab,steak
5281,garlic,dessert
5282,water,oxygen
5283,plane,tomato
5284, water, ice cream
5285, swim ##s, works
5286,kitchen,bathroom
5287, computer, tooth ##pas ##te
5288,bread,soup
5289,hour,week
5290,earth,space
5291,city,sun
5292,shoulder,liver
5293,bath,soup
5294,mug,train
5295,nose,hands
5296,host,cook
5297,light,wind
5298,apron,bikini
5299,book,chicken
5300,rose,steak
5301,foot,hands
5302,house,bag
5303,vet,butcher
5304,eating,painting
5305, car, remove ##r
5306,bun,bag
5307,dog,snake
5308,steak,coconut
5309,radio,canteen
5310,bike,salad
5311, gasoline, tooth ##pas ##te
5312, meat, cash ##ew ##s
5313,gardener,nurse
5314, cupboard ##s, leaves
5315,knife,sponge
5316,battery,body
5317, comb, tooth ##brush
5318,fridge,closet
5319,oven,pocket
5320,kitchen,garage
5321,cinema,school
5322,restaurant,ocean
5323,plastic,iron
5324,meal,disease
5325,oven,fridge
5326,lips,scalp
5327, fish pork, orange ##s bananas
5328,car,shop
5329,car,cat
5330,accountant,cleaner
5331,legs,lips
5332,female,male
5333,2,9
5334,fire,food
5335,wine,cheese
5336,pillow,plane
5337,cat,child
5338,happiness,telephone
5339,fire,wine
5340,white,purple
5341,spoon,knife
5342,bowl,phone
5343, liver ##s, baggage
5344,car,coin
5345,salad,building
5346,brown,black
5347,poison,medicine
5348,oven,water
5349,bananas,grass
5350,train,paper
5351,sun,bird
5352,kite,button
5353, egg ##pl ##ant, pork
5354,good,bad
5355,money,power
5356,coat,hair
5357,notebook,liver
5358,barber,vet
5359, soap, lot ##ion
5360,oven,closet
5361,hat,car
5362,sandwiches,gasoline
5363,ocean,sky
5364,coffee,water
5365,while,bicycle
5366, oxygen, ca ##uli ##flower
5367,hair,tooth
5368,wine,salts
5369,plane,lever
5370,paper,bullets
5371,son,car
5372,doctor,actor
5373,novels,sports
5374,water,oil
5375,lab,library
5376,job,sport
5377,questions,exam
5378,poison,fruit
5379,restaurant,lab
5380,cake,car
5381,pen,stamp
5382,bread,water
5383,army,money
5384,glass,paper
5385,sky,sea
5386,candy,boat
5387,baggage,pets
5388,dog,book
5389,rain,rubbish
5390,telephone,train
5391,tissue,shoe
5392,chef,pet
5393,paper,bed
5394,breast,salary
5395,duck,dinosaur
5396,army,store
5397,letter,smell
5398,plane,tickets
5399,gasoline,butter
5400,rocks,sea
5401,sugar,salt
5402,shower,library
5403,food,exam
5404, video games, jazz
5405, dinosaur, ham ##ster
5406,secretary,cleaner
5407,fish,monkey
5408,butter,bush
5409,poison,drug
5410,well,bed
5411,water,oil
5412,fingers,hair
5413,legs,nose
5414,sky,sun
5415,yards,planets
5416,forehead,toe
5417,courts,museums
5418,pie,poison
5419,clouds,ocean
5420,roses,batteries
5421,shelf,moon
5422,stories,exams
5423,sun,bathroom
5424,clinic,library
5425,stone,planet
5426, hospital, train station
5427,mouth,toes
5428,ocean,liver
5429,beans,meat
5430,hospital,playground
5431,toilet,patio
5432,dentist,teacher
5433, chips, milk shake
5434,sea,stream
5435,car,plane
5436,home,shelf
5437,dishes,cars
5438,sun,fire
5439, sham ##poo, meat
5440,pear,pen
5441, radiation, ki ##wi fruit
5442,mountain,dog
5443, oil, sham ##poo
5444, hospital, ##dre ##sser ' s
5445,plane,car
5446, bird, aircraft carrier
5447,gym,museum
5448,knees,lung
5449,wind,water
5450, amusement park, library
5451, dark, my ##op ##ia
5452,sky,yard
5453,doctor,chef
5454,road,grass
5455,bathroom,kitchen
5456,deadly,healthy
5457,glory,disappointment
5458,knocking,breaking
5459,sweet,cabbage
5460,greasy,light
5461,on,off
5462,cola,water
5463,stop,keep
5464,universe,world
5465,playground,field
5466,meters,kilometers
5467,palace,fridge
5468,ring,coat
5469, police officer, maid
5470, necessity, non - essential ##s
5471,noisy,quiet
5472,legs,belly
5473,forest,cinema
5474,beef,bananas
5475, tor ##to ##ises, cats
5476,ears,teeth
5477,menu,chefs
5478,##poo,##er
5479,usa,canada
5480,clouds,trees
5481, built up, destroyed
5482,cannot,can
5483,kite,panda
5484,rocket,bus
5485,education,job
5486,blood,time
5487,dog,teenager
5488,house,elephant
5489,prison,college
5490,dragons,workers
5491,cook,judge
5492,bus,snake
5493,technology,cola
5494,stealing,relaxation
5495, children, veterans survive
5496, child, police .
5497,dinner,life
5498,children,poor
5499,patients,child
5500,airport,fridge
5501,reservoir,restaurant
5502,milk,oil
5503,work,rock
5504,merits,tastes
5505,water,mud
5506,summer,river
5507,sun,bed
5508,house,childhood
5509,dog,writer
5510,policeman,thief
5511, desk ##s, grass
5512,planet,job
5513,fire,community
5514,sunshine,rules
5515,problem,disease
5516, part job, battle
5517,blood,time
5518,moon,campus
5519,students,babies
5520,cars,opportunities
5521,dangers,benefits
5522,place,cars
5523,person,aspect
5524, super ##sti ##tion, technology
5525,lower,enhance
5526,trees,people
5527,tables,people
5528,magic,bicycles
5529,roles,pet
5530,moon,planet
5531,plane,bicycle
5532,problem,study
5533,games,activities
5534, plane, will ##power
5535,eyes,ears
5536,enemies,families
5537,planet,theater
5538,destroyed,scheduled
5539, monsters, rice noodles
5540,pet,school
5541, change, super ##men
5542,sun,door
5543,battle,tour
5544,opinions,toes
5545,germany,tennis
5546, forest, mac ##aro ##ni
5547,book,gun
5548,gain,lose
5549,woman,dog
5550,bird,pig
5551,lobster,man
5552,rabbit,turtle
5553,fire,ice
5554,doctor,teacher
5555,shoe,glove
5556,chicken,rock
5557,saw,fork
5558,water,wood
5559,water,lava
5560,cow,mouse
5561, rode in, drove
5562,oven,fridge
5563,honey,butter
5564, pe ##lica ##n, plane
5565,swayed,ran
5566,paws,wings
5567,broom,bucket
5568, fly a kite, buy food
5569,shotgun,basketball
5570,earth,mars
5571,wood,oxygen
5572,temperature,time
5573,leather,stone
5574, lau ##nd ##rom ##at, theater
5575,dinosaur,lamb
5576, ##r, blanket the
5577,in,is
5578, a blanket, an ice cream
5579, a blade, an erase ##r
5580, ink, sham ##poo
5581,cement,glue
5582, sand, eyed ##rop ##s
5583,cat,sun
5584, laptop ##s, roses
5585,helps,help
5586,shoes,shark
5587, head ##phones, speakers
5588, bi ##rya ##ni, pasta
5589, a ##cloth, mount everest
5590,ball,stick
5591,planet,key
5592, on moon, right around corner
5593, the dog, google
5594, a steak, some green beans
5595, blushed, s ##nee ##zed
5596,taste,smell
5597,green,red
5598,violin,violinist
5599,dance,calculus
5600,funeral,wedding
5601, ##fly, kim ##od ##o
5602,large,a
5603,shave,lick
5604,fathers,brothers
5605, present,
5606, eat, be eaten by
5607,ballet,allison
5608,bags,store
5609,walk,write
5610, vet ##erina ##rians, dogs
5611,diesel,gasoline
5612, are two ##s they are, is only one that is
5613,dyed,wear
5614,bananas,monkeys
5615,from,to
5616, doesn ' t make person, is no longer
5617,, belle
5618,egg,shoe
5619,tables,##es
5620, exercise, stung by a bee
5621,drive,sing
5622,20,40
5623,learn,eat
5624,sun,bath
5625,hour,hours
5626,pink,blue
5627, hair is dye ##s it, eyes are dies them
5628,squirrels,dinosaurs
5629, bears fur is, flaming ##oes feathers are
5630,bicycle,car
5631, hurt, war ##ts
5632, brother,
5633, rain fall, sun shine
5634, someone, no one
5635,noses,clothes
5636,car,hat
5637, planet neptune, movies
5638,mammal,insect
5639, hair, eye ##balls
5640, a very special !, same as every other .
5641, eating," "" ##ing """
5642, elegant, sl ##op ##pi
5643,##nies,##s
5644,europe,antarctica
5645,lizards,birds
5646,child,adult
5647,adults,children
5648,freezing,hot
5649,yesterday,tomorrow
5650,grandmother,niece
5651,father,stepfather
5652, baseball bat, club
5653,water,oxygen
5654, an engineer, a cheer ##leader
5655,plates,pets
5656, wool ##ly mammoth ##s, rabbits
5657,snake,chicken
5658, beach," opera , ."
5659,ordinary,huge
5660, concerned, un ##con ##cer ##ned
5661,foolish,wise
5662,gown,suit
5663,hot,cold
5664,people,one
5665,mother,motorcycle
5666,sister,head
5667, john, bon ##kers
5668,often,rarely
5669,##pies,##s
5670,potato,sure
5671,sons,daughters
5672, ice cream, pot pie ##s
5673,loses,wins
5674,baby,cat
5675, dec ##eit, truth
5676,ski,breathe
5677,tails,eyes
5678, wheel ##bar ##row, bicycle
5679,breathing,eating
5680,calculus,connecticut
5681, an earthquake, a heart attack
5682, zebra ##s, penguins
5683,kindergarten,college
5684,necks,toes
5685,son,father
5686,my,her
5687, candy, box of chocolate ##s .
5688,hands,mouth
5689,ramp,lion
5690,head,deer
5691, polar bears, penguins
5692, evergreen trees, weeds
5693,##fish,salmon
5694,put,killed
5695,fought,texted
5696, your homework, laundry
5697,hair,lips
5698,cake,coffee
5699, drank, listened to the
5700,eyes,ears
5701,tea,bread
5702,trees,swimming
5703, taking out, dating
5704, cash ##ew ##s, bubbles
5705,book,coffee
5706, door ##k ##nob, turkey
5707,its,his
5708,sun,lake
5709,spicy,difficult
5710, mars, the earth
5711,sugar,vinegar
5712,hungry,full
5713,##mer,##ter
5714,table,bed
5715,closed,opened
5716,car,spaceship
5717,off,on
5718,cook,doctor
5719,to,with
5720, police station, theater
5721, b ##lot ##ter, clothes
5722,less,more
5723,sea,tops
5724, rev ##erence, compassion
5725, soda pop, book
5726,africa,antarctic
5727, helping others, committing per ##ju ##ry
5728, visit his neighbor, buy groceries
5729, harvesting, going to school
5730,school,bar
5731, cardboard box, pop - top
5732,swamp,plain
5733,suitcase,bowl
5734,lake,playground
5735,dusk,dawn
5736,airport,supermarket
5737,shirt,computer
5738, penguin, polar bear
5739,sister,brother
5740, rain forest, desert
5741,hat,glasses
5742,house,sea
5743,sky,ground
5744,football,music
5745, hospital, toy store
5746,feet,hands
5747,grass,meat
5748, flies sky, swim ##s water
5749, 15th, 31 ##th
5750,dogs,cats
5751,8,25
5752,sad,happy
5753,asleep,awake
5754,passed,knocked
5755,sleep,playing
5756,law,bed
5757,medicine,vote
5758, getting up the early morning of refreshing weather, driving at night complex road conditions
5759,sad,happy
5760,office,theatre
5761, hoc ##k, donate
5762,ugly,beautiful
5763,jacket,armor
5764,sleeping,learning
5765,garden,bar
5766, likes, dislike ##s
5767,drawer,bottle
5768,alive,nervous
5769,pigeon,pig
5770,bamboo,bomb
5771, goes hiking, plays computer games
5772,were,was
5773,depressed,proud
5774,31,27
5775, walking, staying still
5776,round,square
5777,ground,water
5778, bowl, dust ##bin
5779,off,on
5780,english,chinese
5781,left,right
5782,eyes,ears
5783,house,car
5784,salt,pure
5785,hot,cold
5786,autumn,spring
5787, in day, at night
5788,boy,girl
5789,human,dog
5790,angry,happy
5791,dog,fish
5792,legs,arms
5793,crying,laughing
5794,sad,happy
5795,faster,slower
5796,patients,teachers
5797, slow wind, typhoon
5798,cry,laugh
5799,hot,cold
5800,radio,tv
5801,water,petroleum
5802,40,200
5803,green,white
5804,oil,water
5805,sun,moon
5806,sky,sea
5807,hen,cock
5808, volleyball ##s, water ##mel ##ons
5809, in space, on the earth
5810,deaf,blind
5811,tired,energetic
5812,water,sand
5813,lake,river
5814,pencil,cigarette
5815, don ' t at all, hard
5816, an egg, cater ##pi ##llar
5817,steam,water
5818,water,fire
5819,13,6
5820, and black, only
5821,water,ground
5822,interesting,boring
5823, embarrassed, more than proud
5824,house,horse
5825,sheep,ship
5826,north,south
5827,is,are
5828,ears,nose
5829,mirrors,glasses
5830,pencil,hammer
5831,sun,books
5832, smart phones, bicycles
5833, family members, strangers
5834,power,energy
5835,digital,mechanical
5836,black,blue
5837, americans, french ##es
5838,sky,sea
5839, private car, bus
5840,dry,wet
5841,angry,happy
5842, a du ##rian, an apple
5843,car,ship
5844,earth,moon
5845,ice,water
5846,happy,sad
5847,feet,hands
5848, to ##gger ##y, restaurant
5849, sand is, cell phones are
5850,roommate,dog
5851,beat,kissed
5852,depressed,happy
5853,history,future
5854,hospital,restaurant
5855,chocolate,chip
5856, bank, trash can
5857,energetic,tired
5858,feathers,paper
5859,vegetables,stone
5860, cola, french fries
5861,teacher,computer
5862,cow,fish
5863,candle,table
5864,music,films
5865,fridge,stove
5866, kind and understanding, rude trouble - makers
5867,love,hate
5868,sneakers,pants
5869,moon,sun
5870,angry,satisfied
5871,milk,sewage
5872, quad ##rate, round
5873,river,mountain
5874,way,forest
5875,green,red
5876,toilet,bank
5877, an ear ##phone, a computer
5878,watch,sleep
5879,pens,words
5880,robot,human
5881,music,basketball
5882,umbrella,chairs
5883,younger,older
5884, scream, read books
5885,flower,rubbish
5886,continent,ocean
5887,birds,fish
5888, keeps still, drops
5889,up,down
5890,yellow,green
5891,airplane,bus
5892,coffee,liquor
5893,up,with
5894,friend,sister
5895,taller,shorter
5896,red,black
5897,excited,angry
5898, often brushes them, has eaten too many sweets
5899,dark,bright
5900,500,100
5901,kind,criminal
5902,suffering,enjoyable
5903, sleeping, writing letters
5904, eating, im ##itating
5905,toilet,school
5906,excited,sleepy
5907,green,red
5908,interesting,boring
5909, stomach, anti -
5910,has,becomes
5911,angry,happy
5912,bad,good
5913, go on a diet, eat more
5914,mind,now
5915, no need of, to apply
5916,eagerly,food
5917,on,off
5918, needs more practice, should play a lot
5919,less,more
5920,off,up
5921,towel,basin
5922,up,off
5923,pigeon,helicopter
5924,egg,computer
5925,morning,evening
5926, gr ##ie ##ved, pleased
5927,tall,short
5928,and,so
5929,more,less
5930, covered, washed up
5931, broke up, had better friendship
5932, played, worked for
5933, happy, sorrow ##ed
5934,eats,reads
5935,green,right
5936,exhausted,energetic
5937, clearer, more confused
5938,ally,rival
5939,strong,weak
5940, weakness, great power
5941,put,pull
5942, no longer, now more
5943, bridges ships,
5944, won battle, encountered military defeat
5945,surrendered,him
5946, ac, heat ##er
5947,sunny,rainy
5948,desert,dessert
5949,water,oil
5950,river,lava
5951, the ant, earth
5952,plane,meeting
5953, boiling water, love
5954,oven,refrigerator
5955, bounce, express himself
5956,water,river
5957,desert,sand
5958, lava, hot water
5959,sun,earth
5960,eight,seven
5961,mouth,eyes
5962, did, didn ' t
5963, shine ##s, rains
5964,cold,hot
5965, very safe, dangerous
5966,plane,carpet
5967,king,queen
5968,desk,podium
5969,eats,drinks
5970,bread,milk
5971,foot,feet
5972,cup,pencil
5973, phone, light bulb
5974,played,ate
5975,brain,wallet
5976,tigers,dessert
5977, pu ##s an elephant, put frog
5978,iron,wood
5979, ferocious, doc ##ile
5980,sing,sleep
5981,sea,land
5982,see,hear
5983,apple,key
5984,sweet,salty
5985,healthy,harmful
5986, releases, absorb ##s
5987,caves,trees
5988,day,night
5989,dog,dragon
5990,second,seconds
5991,200,40
5992,french,chinese
5993, whale, gold ##fish
5994, rain, sand storm
5995,dinosaurs,elephants
5996,stomach,lung
5997, felt cool, soaked with sweat
5998,dictionary,basketball
5999,the,some
6000, worthless, great value
6001, my brain often crashes, am energetic
6002, we are supposed, it imp ##oli ##te
6003,caves,photography
6004,from,with
6005, have no access, can
6006, be able when doing, even if are unable still do
6007, liked feeling, suffered pain from being
6008, couldn ' t buy, bought
6009,hates,loves
6010, couldn ' t meet the deadline for handing, can hand ahead of time
6011, worked out ask, couldn ' t do consult
6012, can ' t be eaten when are, we should eat after turn
6013, opened and invited in, closed leaving outside
6014,upset,excited
6015,much,little
6016, another, no more an
6017, fry fish, tree
6018,mouth,hands
6019,meat,plants
6020,honesty,authority
6021,juice,oil
6022, wide awake, drunk
6023, enjoy when sings, don ' t expect him to sing
6024, runs very fast on ground, has such a quick for its capacity of flying in sky
6025, really love, have a series of personal attacks on
6026, girls are careless about when they date with lovers, women up for behold ##ers
6027,plants,meat
6028,black,white
6029,stars,clouds
6030,juice,milk
6031,fish,sands
6032, acids, al ##kali
6033,beautiful,ugly
6034,glass,paper
6035,underground,sky
6036,doctors,policemen
6037,chef,doctor
6038,bloom,cake
6039,red,blue
6040,comfortable,painful
6041,water,oxygen
6042,hands,feet
6043,black,white
6044,cold,hot
6045,song,noise
6046,coffee,milk
6047,call,swim
6048, falls down, raises
6049,bank,toilet
6050, bottle, whole cart ##on
6051, is 18, was born two
6052, heavier than, as heavy as
6053,moon,hometown
6054,sunrise,sunset
6055,27th,30th
6056,horse,house
6057,bed,ceiling
6058,hospital,airport
6059,universe,sun
6060,shoes,bread
6061,car,house
6062, bigger than human, tiny animals
6063, at table, on the ceiling
6064,prince,princess
6065, biggest, a small
6066, dolphins, camel ##s
6067,eat,read
6068,concrete,water
6069,car,dog
6070,beneficial,dangerous
6071, at night, in the morning
6072,hospital,restaurant
6073,apple,telephone
6074,clothes,lungs
6075,crawling,flying
6076, drinking juice, killing a man
6077,water,plastic
6078,animals,books
6079,toilet,kitchen
6080, wide awake, sleepy
6081,two,five
6082,four,two
6083, only one eye, many eyes
6084,ceiling,classroom
6085,classroom,bathroom
6086, tooth ##brush, camera
6087,black,blue
6088,pen,cup
6089,pencil,window
6090,tentacles,brains
6091, healthy body, cancer
6092,phone,cup
6093,cement,jam
6094,kitchen,bathroom
6095,illegal,legal
6096,not,totally
6097,lions,horses
6098,space,earth
6099,water,dogs
6100,water,sky
6101,colder,hotter
6102,many,no
6103, real lives, fantasy
6104,sour,salty
6105,body,emotion
6106,gold,silver
6107,food,clothes
6108,silver,water
6109,lake,desert
6110,cloudy,clear
6111, tim ##id, fearless
6112,much,little
6113,fruits,rockets
6114,four,seven
6115,oil,water
6116,cars,ships
6117,books,showers
6118,diamonds,gold
6119,popular,awkward
6120,clean,dirty
6121,flowers,dishes
6122,hotter,colder
6123,live,eat
6124,lose,gain
6125,unpredictable,predictable
6126,jungle,sea
6127, roses are, dead fish is
6128, on an ice mountain, in a jungle
6129, the sun, a falling star
6130,night,day
6131,insects,human
6132, be drunk as beverage by human, join two things together
6133,telescope,microscope
6134,six,seven
6135, america, world
6136," , has a 50 % chance boiling", boil ##s
6137,likes,hates
6138, respect for, hate
6139,nervous,hungry
6140, have to, never
6141,strong,weak
6142,cartoon,popular
6143,after,during
6144,rises,drops
6145,happy,angry
6146,eyes,mouth
6147, got good grades, dropped out
6148, don ' t believe, trust really
6149, watching your computer for a long time is good for your eyes, looking at green plants more helps to alleviate eye fatigue
6150, after off, as soon as on
6151,reward,ticket
6152, over ##ea ##ting, doing exercises
6153, should do first then have fun, are supposed to play before they finish
6154, went for a walk on legs, started to fly with wings
6155,bony,affluent
6156, raw meat, straw
6157,see,hear
6158, bra ##gs, talks something important
6159, stamps, stick ##ers
6160,it,one
6161, is hazardous, can be touched
6162, smug ##gler should be rewarded, smuggling is illegal
6163, things in truth, something fake
6164,good,bad
6165,every,a
6166,bird,elephant
6167,fox,clouds
6168, bed, the sea
6169,east,west
6170,night,noon
6171,swam,bloom
6172,fridge,hole
6173,bedroom,zoo
6174,elephant,juice
6175, poison ##s, water
6176, restaurant eat pig, kitchen for glass of water
6177,grass,sky
6178,neck,waist
6179,clothes,knife
6180, was trying on clothes noon today, slept in elevator this afternoon
6181,restaurant,hospital
6182,thief,alien
6183,bank,school
6184,rabbits,##s
6185,straw,meat
6186,car,plane
6187,year,lunch
6188, marry a monkey, be his wedding
6189,ate,drank
6190,driving,bumper
6191, to defend against enemy, only for beauty
6192,32,31
6193,basketball,football
6194, humans are the most intelligent on earth, man does not belong to
6195,five,four
6196,ant,elephant
6197,stones,tea
6198,water,juice
6199,good,bad
6200,bomb,toy
6201,rabbits,leaves
6202, fl ##ak, down
6203,case,screen
6204, is now, was when he was born
6205,green,blue
6206,balloon,candle
6207,soup,food
6208, a truck ##load of apples, an apple
6209,##bes,##s
6210,old,born
6211, outside, in the classroom
6212,doctor,teacher
6213,girls,boys
6214,girls,boys
6215,teachers,students
6216,teachers,students
6217,students,teachers
6218,summer,winter
6219,winter,summer
6220, panda ##s, rats
6221,clothes,plates
6222,warm,cold
6223, eaten nothing for years, ate a bis ##cuit this evening
6224, didn ' t have dinner, ate cat food
6225,yellow,blue
6226,ice,water
6227, dog, tor ##to ##ise
6228,fire,warm
6229,writing,eating
6230,bath,dishes
6231,dog,girl
6232,sea,building
6233,birds,teachers
6234,grass,tree
6235,shoes,hat
